book_id,title,processed_dir,genre_primary,format,twist_peak_rank,mean_s_k5,max_a_k5,mean_s_k7,max_a_k7,mean_s_k11,max_a_k11,delta_mean_s_k11_k5,delta_max_a_k11_k5,rank_mean_s_k7_desc,rank_max_a_k7_desc,is_top3_mean_s_k7,is_top3_max_a_k7
11,Alice's Adventures in Wonderland,alice_s_adventures_wonderland,Fantasy,novel,19,0.19367676973342896,0.3362525999546051,0.2022024244070053,0.3610789179801941,0.21263515949249268,0.350696861743927,0.01895838975906372,0.0144442617893219,7,8,False,False
16,Peter Pan,peter_pan,Fantasy,novel,17,0.1933378279209137,0.24659965932369232,0.20176245272159576,0.2331250160932541,0.21230487525463104,0.26353970170021057,0.018967047333717346,0.01694004237651825,8,18,False,False
35,The Time Machine,time_machine,Sci-Fi,novella,13,0.20963747799396515,0.4144580364227295,0.22165171802043915,0.4144580364227295,0.2335004359483719,0.4144580364227295,0.02386295795440674,0.0,1,4,True,False
36,The War of the Worlds,war_worlds,Sci-Fi,novel,14,0.19302543997764587,0.2557787299156189,0.20150010287761688,0.2773679494857788,0.20957548916339874,0.29557979106903076,0.01655004918575287,0.039801061153411865,9,16,False,False
43,The Strange Case of Dr. Jekyll and Mr. Hyde,strange_case_dr_jekyll,Horror,novella,1,0.1710600107908249,0.4343358874320984,0.1770167201757431,0.4343358874320984,0.18087343871593475,0.4343358874320984,0.009813427925109863,0.0,14,3,False,True
55,The Wonderful Wizard of Oz,wonderful_wizard_oz,Fantasy,novel,16,0.16507767140865326,0.296197772026062,0.17538104951381683,0.296197772026062,0.18637613952159882,0.296197772026062,0.021298468112945557,0.0,16,15,False,False
84,"Frankenstein; Or, The Modern Prometheus",frankenstein_modern_prometheus,Sci-Fi,novel,11,0.19278866052627563,0.49116548895835876,0.20375527441501617,0.49116548895835876,0.2180604189634323,0.49116548895835876,0.025271758437156677,0.0,6,1,False,True
103,Around the World in Eighty Days,around_world_eighty_days,Adventure,novel,10,0.17999593913555145,0.29546087980270386,0.19119016826152802,0.2590826153755188,0.20273353159427643,0.234878271818161,0.022737592458724976,-0.06058260798454285,12,17,False,False
113,The Secret Garden,secret_garden,Children's Fiction,novel,18,0.18665960431098938,0.467386394739151,0.19380007684230804,0.467386394739151,0.20122376084327698,0.467386394739151,0.014564156532287598,0.0,11,2,False,True
120,Treasure Island,treasure_island,Adventure,novel,9,0.18264427781105042,0.3268156051635742,0.18845872581005096,0.3268156051635742,0.19480392336845398,0.3268156051635742,0.012159645557403564,0.0,13,11,False,False
175,The Phantom of the Opera,phantom_opera,Gothic,novel,3,0.19982030987739563,0.3757439851760864,0.20968133211135864,0.3633522093296051,0.22183489799499512,0.31133946776390076,0.022014588117599487,-0.06440451741218567,3,7,True,False
345,Dracula,dracula,Horror,novel,8,0.21159067749977112,0.37331318855285645,0.22164401412010193,0.3831765651702881,0.23218685388565063,0.370684951543808,0.020596176385879517,-0.002628237009048462,2,6,True,False
521,Robinson Crusoe,robinson_crusoe,Adventure,novel,20,0.1954619586467743,0.38628673553466797,0.20709875226020813,0.38628673553466797,0.21849626302719116,0.38628673553466797,0.02303430438041687,0.0,5,5,False,False
768,Wuthering Heights,wuthering_heights,Gothic,novel,6,0.1624557226896286,0.33058080077171326,0.16521908342838287,0.317145437002182,0.16797395050525665,0.284040629863739,0.005518227815628052,-0.04654017090797424,18,13,False,False
1184,The Count of Monte Cristo,count_monte_cristo,Adventure,novel,2,0.16876323521137238,0.32282859086990356,0.17630420625209808,0.30696865916252136,0.18567624688148499,0.3173055648803711,0.01691301167011261,-0.005523025989532471,15,14,False,False
1257,The Three Musketeers,three_musketeers,Adventure,novel,15,0.1566801220178604,0.29561030864715576,0.16350477933883667,0.31991496682167053,0.17092546820640564,0.32690781354904175,0.014245346188545227,0.031297504901885986,19,12,False,False
1260,Jane Eyre,jane_eyre,Gothic,novel,4,0.1893000602722168,0.34282153844833374,0.19577309489250183,0.34385859966278076,0.20080319046974182,0.3843814730644226,0.011503130197525024,0.04155993461608887,10,9,False,False
1342,Pride and Prejudice,pride_prejudice,Romance,novel,12,0.13713443279266357,0.22828787565231323,0.14150547981262207,0.22900263965129852,0.14567095041275024,0.22716522216796875,0.00853651762008667,-0.0011226534843444824,20,19,False,False
1513,Romeo and Juliet,romeo_juliet,Tragedy,play,5,0.16884244978427887,0.2360391765832901,0.17509599030017853,0.20837752521038055,0.18341310322284698,0.1816069781780243,0.014570653438568115,-0.05443219840526581,17,20,False,False
1661,The Adventures of Sherlock Holmes,adventures_sherlock_holmes,Mystery,short-story collection,7,0.2002120316028595,0.2874196171760559,0.20843654870986938,0.3288687765598297,0.21603648364543915,0.3035790026187897,0.01582445204257965,0.016159385442733765,4,10,False,False
