book_id,x,y,id,title,genre_primary,format
11,0.03676228988994173,-0.10051556703052263,11,Alice's Adventures in Wonderland,Fantasy,novel
16,0.2512260984556766,-0.22573174404861263,16,Peter Pan,Fantasy,novel
35,-0.42280393470167166,-0.3171586636866796,35,The Time Machine,Sci-Fi,novella
36,-0.29613375296184014,-0.047052913363252596,36,The War of the Worlds,Sci-Fi,novel
43,-0.019588823378176006,0.49923654524082334,43,The Strange Case of Dr. Jekyll and Mr. Hyde,Horror,novella
55,0.006796079696959993,0.2999689036073085,55,The Wonderful Wizard of Oz,Fantasy,novel
84,0.06532736636991236,-0.4066862590324009,84,"Frankenstein; Or, The Modern Prometheus",Sci-Fi,novel
103,-0.16995511115349493,-0.28232487803707873,103,Around the World in Eighty Days,Adventure,novel
113,-0.09513336547342174,0.09088175749690716,113,The Secret Garden,Children's Fiction,novel
120,0.13540707611533195,0.04023200926604495,120,Treasure Island,Adventure,novel
175,-0.16687057013018908,-0.5876998019818885,175,The Phantom of the Opera,Gothic,novel
345,-0.7055485809035247,0.0009886090242656699,345,Dracula,Horror,novel
521,-0.30887461758590723,0.3774011702678479,521,Robinson Crusoe,Adventure,novel
768,0.41663780361580616,0.0722155807505634,768,Wuthering Heights,Gothic,novel
1184,0.43663237253938203,-0.11138609771779912,1184,The Count of Monte Cristo,Adventure,novel
1257,0.3188041994042235,0.21835093151017976,1257,The Three Musketeers,Adventure,novel
1260,-0.3777153297890182,0.1744344236582459,1260,Jane Eyre,Gothic,novel
1342,0.44025289134373935,0.3837693456124298,1342,Pride and Prejudice,Romance,novel
1513,0.18155358476382386,0.33254847059399095,1513,Romeo and Juliet,Tragedy,play
1661,0.27322432388244616,-0.41147182213037203,1661,The Adventures of Sherlock Holmes,Mystery,short-story collection
