branch,method,k,silhouette,davies_bouldin,calinski_harabasz,kmeans_stability_ari
dtw,average,2,0.08503111518737337,,,
dtw,average,3,0.07150491427064161,,,
dtw,average,4,0.0496474068516594,,,
dtw,average,5,0.026774354506076885,,,
dtw,average,6,0.015151354016941222,,,
feature,kmeans,2,0.23784644000834304,1.378610900909494,8.779406982624854,1.0
feature,kmeans,3,0.23824128797266772,1.1344516565969733,7.593753561788527,0.7862840240345504
feature,kmeans,4,0.2220898240132092,1.2483669088460514,7.419245735550583,0.741046155093908
feature,kmeans,5,0.259789766423421,0.8875380398195549,8.077047265314174,0.892572279130657
feature,kmeans,6,0.2569734156400604,0.8298364197291739,8.064893126604552,0.8953474831338365
feature,ward,2,0.2104822100339089,1.4041016347399013,7.106079762887444,
feature,ward,3,0.22663248545269643,1.2762303924646912,7.287356648243618,
feature,ward,4,0.2325318281976815,0.9934536257306867,7.41667283482152,
feature,ward,5,0.259789766423421,0.8875380398195549,8.077047265314174,
feature,ward,6,0.2569734156400604,0.8298364197291739,8.064893126604552,
