k,inertia,delta_inertia,pct_drop_from_prev
1,600.0,,
2,403.2949649335891,196.70503506641091,32.78417251106849
3,316.8931337502864,86.4018311833027,21.4239796416825
4,250.92963413243575,65.96349961785063,20.81569229260431
5,190.24190480735604,60.687729325079715,24.185158335284513
6,154.62646345652792,35.61544135082812,18.721133699167517
7,127.13528687525972,27.491176581268192,17.779089016672188
8,104.47320973019568,22.662077145064046,17.825166955653476
9,87.92477799742657,16.548431732769103,15.83988065026985
10,73.58657104780687,14.338206949619703,16.307356442844085
