book_id,title,processed_dir,split,T,mse,rmse,mae,r2,mae_ma
16,Peter Pan,peter_pan,test,471,1.4182338728470485,1.1908962477256566,1.0329418449340957,0.08588888331165268,0.37379192980420906
113,The Secret Garden,secret_garden,test,805,1.2905755034288784,1.1360349921674413,0.96786095363874,0.16756560773992457,0.3132528240323481
768,Wuthering Heights,wuthering_heights,test,1158,1.5231014213300333,1.2341399520840548,1.077038324420202,0.11163607506794804,0.3797933320518328
1342,Pride and Prejudice,pride_prejudice,test,1272,1.4210008207897578,1.192057389889328,1.0574214099905608,0.05279374185064856,0.33350408924314556
11,Alice's Adventures in Wonderland,alice_s_adventures_wonderland,train,264,1.3597089934864925,1.1660656042806907,1.0091068186601067,0.05294333616450897,0.3144250632830034
35,The Time Machine,time_machine,train,323,1.3042316413851753,1.1420296149335074,0.9961255418798468,0.17189537766669938,0.3049002460337065
36,The War of the Worlds,war_worlds,train,599,1.46223798309962,1.2092303267366478,1.0738624948068785,0.14602066766153043,0.34499187208176674
43,The Strange Case of Dr. Jekyll and Mr. Hyde,strange_case_dr_jekyll,train,255,1.5399863651463976,1.2409618709478538,1.1010552927359931,0.10364125645704736,0.3273081964737707
55,The Wonderful Wizard of Oz,wonderful_wizard_oz,train,395,1.2462940244687986,1.1163753958542793,0.9633439448243744,0.09087369597576189,0.29879800551792307
84,"Frankenstein; Or, The Modern Prometheus",frankenstein_modern_prometheus,train,749,1.53978438747636,1.240880488796709,1.0843315798418327,0.1526734769392748,0.32395270107063445
103,Around the World in Eighty Days,around_world_eighty_days,train,632,1.386991352141451,1.1777059701561554,1.0596827294534144,0.17496525034439103,0.31273279155422584
120,Treasure Island,treasure_island,train,685,1.395650665762474,1.181376597771631,1.0373691044979123,0.10544134987870346,0.32195155862165065
175,The Phantom of the Opera,phantom_opera,train,854,1.400268067569264,1.1833292304212146,1.0335770656300993,0.20335844967440064,0.3373484433278756
345,Dracula,dracula,train,1612,1.3777770138865981,1.1737874653814455,1.024055857083255,0.1871342878773472,0.32422267018287954
521,Robinson Crusoe,robinson_crusoe,train,1208,1.3497650248881412,1.1617938822735043,1.0171522059655347,0.12525957614545347,0.3190682012710677
1184,The Count of Monte Cristo,count_monte_cristo,train,4608,1.5386025952002784,1.2404042063780172,1.1152403740377608,0.11968181160802138,0.33929006361823344
1257,The Three Musketeers,three_musketeers,train,2293,1.4909362619058144,1.221039009166298,1.0967506995564855,0.15706000475656345,0.3362010804692938
1260,Jane Eyre,jane_eyre,train,1852,1.3917183235772839,1.1797111186969815,1.0316474585510842,0.18715563320890338,0.32508089930928796
1513,Romeo and Juliet,romeo_juliet,train,258,1.1237648479945248,1.0600777556361254,0.8083499939963612,0.078483198330633,0.3297908607760935
1661,The Adventures of Sherlock Holmes,adventures_sherlock_holmes,train,1044,1.5063076684856818,1.227317264803882,1.088666762618791,0.09377693370620632,0.3021420266079277
