book_id,title,split,T,mse,rmse,mae,mae_ma,corr,r2,error_gap_raw_vs_ma
16,Peter Pan,test,471,0.6662548343768354,0.8162443472250422,0.6779932870456393,0.3089185824560365,0.2826212746260405,0.0757251568800868,0.36907470458960284
113,The Secret Garden,test,805,0.5587092895725819,0.7474685876828416,0.6110701025353301,0.2717342023702476,0.2050023403276991,-0.0023021249170114,0.3393359001650825
768,Wuthering Heights,test,1158,0.5585766498310468,0.7473798564525584,0.6147159966603266,0.2638392543639724,0.3266553905100505,0.0878377190023381,0.35087674229635424
1342,Pride and Prejudice,test,1272,0.5264475024542076,0.7255670213386269,0.5876897036867426,0.260332617460382,0.2627391354166798,0.0425782814513472,0.32735708622636056
11,Alice's Adventures in Wonderland,train,264,0.4738863294910443,0.6883940219750927,0.5521748055623356,0.2162579571851025,0.343554951236948,0.114222607873848,0.33591684837723307
35,The Time Machine,train,323,0.624183127626005,0.7900526106696978,0.6358621309062261,0.2765115187281537,0.4024210632221696,0.1608844480827066,0.3593506121780724
36,The War of the Worlds,train,599,0.656870293950804,0.8104753506127155,0.6670435791057687,0.315059238911911,0.4368853234808502,0.1840154331875444,0.3519843401938577
43,The Strange Case of Dr. Jekyll and Mr. Hyde,train,255,0.7027688387763988,0.8383130911398192,0.7095410739520092,0.3094119354112074,0.3482127240183065,0.119507827718009,0.4001291385408018
55,The Wonderful Wizard of Oz,train,395,0.5693976186229984,0.7545844012587316,0.607705742314549,0.2584051453895211,0.3567839222468911,0.1261384221980905,0.3493005969250279
84,"Frankenstein; Or, The Modern Prometheus",train,749,0.5857821534089882,0.7653640659248304,0.6165209229971109,0.2617715031096296,0.4498345061781346,0.2011542444476418,0.3547494198874813
103,Around the World in Eighty Days,train,632,0.5019526109514765,0.7084861402677377,0.5687768377526793,0.2470256452117223,0.5015260778787408,0.2420968126082275,0.32175119254095697
120,Treasure Island,train,685,0.5361801184106193,0.732243209876759,0.6092603812320818,0.2296900987460208,0.3855485540856535,0.1478372689603475,0.379570282486061
175,The Phantom of the Opera,train,854,0.5320178172088658,0.7293955149360776,0.6027274241766225,0.2368247974709527,0.5068042758281393,0.2517450393104237,0.3659026267056698
345,Dracula,train,1612,0.5496106761856627,0.7413573201808037,0.6039740822437585,0.2614389935846979,0.4488428644775757,0.2010850363865832,0.34253508865906057
521,Robinson Crusoe,train,1208,0.5291378741985211,0.727418637511111,0.5688800689519643,0.2356882460872386,0.4303217026252738,0.1830248050760676,0.3331918228647257
1184,The Count of Monte Cristo,train,4608,0.4940578152868647,0.70289246352971,0.5796537416693393,0.2335004307832148,0.3999791364014313,0.1599575467737506,0.34615331088612444
1257,The Three Musketeers,train,2293,0.4665391943710539,0.6830367445248124,0.5683891408181619,0.2303726349394126,0.3929433110741437,0.1533264957536239,0.3380165058787493
1260,Jane Eyre,train,1852,0.5146764819153179,0.7174095635794925,0.5738848123182436,0.235944623321433,0.4383773297334359,0.1911655358470987,0.3379401889968106
1513,Romeo and Juliet,train,258,0.6381981834580568,0.7988730709305808,0.6636497911487182,0.2889054782568235,0.3940172222832747,0.1534271844618953,0.37474431289189475
1661,The Adventures of Sherlock Holmes,train,1044,0.5934262320340615,0.770341633325151,0.6312316844841024,0.2472392078926287,0.4068811507805698,0.1620188175719447,0.3839924765914737
